Compound,RF,NN
CMP777,9.403733053,9.141612772
CMP778,6.978755138,5.875437082
CMP779,8.164153902,9.930747255
CMP780,8.148689874,10.36913111
CMP781,9.484783745,9.277366688
CMP782,9.289062934,7.873608347
CMP783,9.034198091,9.783037344
CMP784,8.744844369,10.40132504
CMP785,7.874013745,9.50488559
CMP786,9.23136665,8.457571766
CMP787,9.178943952,9.457105721
CMP788,8.184411026,5.241559915
CMP789,8.106292622,8.22717411
CMP790,8.771248902,9.378613957
CMP791,6.735873303,3.896084677
CMP792,9.328507635,9.566545597
CMP793,8.520006831,8.349138172
CMP794,7.421291422,6.316398033
CMP795,9.541588732,8.890039972
CMP796,8.375457603,7.478015506
CMP797,9.671912684,9.322170526
CMP798,9.074111499,9.477024663
CMP799,8.871626106,6.28737542
CMP800,9.598695282,7.8757826
CMP801,9.273085122,7.619917369
CMP802,7.687783763,5.375847409
CMP803,8.52422073,8.231856233
CMP804,10.0348196,10.7018287
CMP805,9.252398354,8.71131143
CMP806,8.835199369,9.746310259
CMP807,7.967307828,7.288138868
CMP808,8.716647158,10.81456507
CMP809,9.024403853,10.41444727
CMP810,9.077919004,10.60138298
CMP811,7.730636457,8.422247628
CMP812,7.2429473,6.805321783
CMP813,7.44754779,5.751200547
CMP814,9.507475328,8.768414949
CMP815,6.923398892,7.796908987
CMP816,8.83767826,9.686484944
CMP817,9.903761909,10.19818624
CMP818,7.321567818,9.818942625
CMP819,9.231554622,10.21868061
CMP820,9.590418555,9.842941093
